Year,venue,team1,team2,toss_winner,toss_decision,head to head ratio team1 ,head to head ratio team2,1st iining win,2 nd inning win,winner,,,HISTORICAL TOSS DECISION WIN,
2019,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Mumbai Indians,Kings XI Punjab,field,,,,,Kings XI Punjab,,,,
2019,Feroz Shah Kotla,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,field,,,,,Delhi Capitals,,,,
2019,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,,,,,Sunrisers Hyderabad,,,,
2019,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,,,,,Chennai Super Kings,,,,
2019,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Delhi Capitals,Delhi Capitals,field,,,,,Kings XI Punjab,,,,
2019,Sawai Mansingh Stadium,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,field,,,,,Rajasthan Royals,,,,
2019,"Wankhede Stadium, Mumbai",Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,,,,,Mumbai Indians,,,,
2019,Feroz Shah Kotla,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,,,,,Sunrisers Hyderabad,,,,
2019,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,,,,,Kolkata Knight Riders,,,,
2019,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,,,,,Chennai Super Kings,,,,
2019,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,field,,,,,Mumbai Indians,,,,
2019,M Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,field,,,,,Delhi Capitals,,,,
2019,Sawai Mansingh Stadium,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,,,,,Kolkata Knight Riders,,,,
2019,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab,field,,,,,Kings XI Punjab,,,,
2019,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,field,,,,,Chennai Super Kings,,,,
2019,"Wankhede Stadium, Mumbai",Mumbai Indians,Kings XI Punjab,Mumbai Indians,field,,,,,Mumbai Indians,,,,
2019,Sawai Mansingh Stadium,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,field,,,,,Chennai Super Kings,,,,
2019,"Eden Gardens, Kolkata ",Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,,,,,Delhi Capitals,,,,
2019,"Wankhede Stadium, Mumbai",Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,,,,,Rajasthan Royals,,,,
2019,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,,,,,Royal Challengers Bangalore,,,,
2019,"Eden Gardens, Kolkata ",Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,field,,,,,Chennai Super Kings,,,,
